project,actual,predicted
hadolint/hadolint-action,"Code quality,Container CI",Code quality
timkrase/phpunit-coverage-badge,"Testing,Reporting",Code quality
pre-commit/action,"Testing,Code quality",Code quality
lemonarc/jekyll-action,"Continuous integration,Deployment",Deployment
julia-actions/julia-runtest,"Testing,Continuous integration",Continuous integration
webispy/checkpatch-action,"Code review,Code quality",Code review
actions/setup-elixir,Continuous integration,Continuous integration
TreTuna/sync-branches,"Continuous integration,Deployment",Deployment
K-Phoen/semver-release-action,"Continuous integration,Deployment",Publishing
slashmo/install-swift,"Continuous integration,Utilities",Code quality
flowwer-dev/pull-request-stats,"Code review,Project management",Project management
Khan/pull-request-workflow-cancel,"Code review,Continuous integration",Utilities
wip/action,"Code review,Project management",Project management
ScottBrenner/cfn-lint-action,"Code quality,Continuous integration",Code quality
BetaHuhn/repo-file-sync-action,"Continuous integration,Utilities",Utilities
jsmrcaga/action-netlify-deploy,Deployment,Deployment
theleagueof/fontship,"Publishing,Continuous integration",Continuous integration
chinthakagodawita/autoupdate,"Continuous integration,Utilities",Continuous integration
andstor/jsdoc-action,"API management,Utilities",Deployment
snyk/release-notes-preview,"Code review,Utilities",Utilities
ok-nick/setup-aftman,"Continuous integration,Utilities",Continuous integration
newrelic/repolinter-action,"Open Source management,Continuous integration",Utilities
mtanzi/action-automerge,"Continuous integration,Deployment",Utilities
coverallsapp/github-action,"Code review,Code quality",Continuous integration
maxgfr/github-commit-push-file,"Continuous integration,Utilities",Utilities
ros-tooling/setup-ros,"Continuous integration,Utilities",Continuous integration
jidicula/clang-format-action,"Code review,Code quality",Code quality
filipstefansson/set-npm-token-action,"Dependency management,Deployment",Publishing
ncipollo/release-action,"Project management,Continuous integration",Utilities
andrewiggins/download-base-artifact,"Continuous integration,Utilities",Continuous integration
stefanbuck/github-issue-parser,"Open Source management,Utilities",Project management
AckeeCZ/load-xcode-version,"IDEs,Desktop tools",Continuous integration
azohra/shell-linter,"Code quality,Continuous integration",Code quality
actions-rs/toolchain,"Dependency management,Open Source management",Deployment
giboow/action-aws-cli,"API management,Utilities",Deployment
returntocorp/bento-action,"Code quality,Continuous integration",Continuous integration
ciiiii/toml-editor,"Deployment,Utilities",Utilities
niden/actions-memcached,Container CI,Deployment
actions/github-script,Utilities,Utilities
appleboy/ssh-action,"Continuous integration,Deployment",Deployment
nick-fields/assert-action,"Testing,Utilities",Continuous integration
dineshsonachalam/markdown-autodocs,"Continuous integration,Deployment",Utilities
benc-uk/workflow-dispatch,"Continuous integration,Deployment",Continuous integration
cirrus-actions/rebase,"Code review,Utilities",Utilities
MilesChou/composer-action,"Dependency management,Container CI",Continuous integration
skymatic/semver-validation-action,"Continuous integration,Utilities",Security
korelstar/phplint-problem-matcher,"Reporting,Code review",Code review
jetli/wasm-bindgen-action,"Continuous integration,Deployment",Continuous integration
NSCoder/rust-musl-action,"Code quality,Continuous integration",Continuous integration
