project,actual,predicted
musichin/ktlint-check,"Code review,Code quality","Utilities,Project management"
peter-evans/create-or-update-project-card,"Open Source management,Utilities","Utilities,Project management"
imjohnbo/gh-polls-bot-action,"Open Source management,Utilities","Utilities,Project management"
OskarStark/phpstan-ga,"Code quality,Continuous integration","Continuous integration,Code quality"
pullreminders/slack-action,"Chat,Continuous integration","Chat,Reporting"
nf-core/setup-nextflow,"Continuous integration,Utilities","Continuous integration,Publishing"
Resnovas/label-mastermind,"Project management,Utilities","Project management,Code review"
jcs090218/setup-emacs,"Testing,Deployment","Continuous integration,Utilities"
eregon/publish-release,"Publishing,Deployment","Publishing,Utilities"
dev-drprasad/delete-tag-and-release,"Publishing,Utilities","Publishing,Continuous integration"
snickerbockers/submodules-init,"Dependency management,Utilities","Continuous integration,Testing"
HighwayThree/jira-upload-deployment-info,"Continuous integration,Utilities","Deployment,Continuous integration"
lee-dohm/close-matching-issues,"Project management,Utilities","Open Source management,Utilities"
at-wat/setup-gh-pr-comment,"Continuous integration,Utilities","Utilities,Code review"
jasongitmail/fast-webhook,"Deployment,Utilities","Chat,Monitoring"
jesusvasquez333/verify-pr-label-action,"Project management,Continuous integration","Code review,Project management"
nuuday/github-changelog-action,"Publishing,Continuous integration","Publishing,Utilities"
burnett01/rsync-deployments,"Deployment,Utilities","Deployment,Continuous integration"
lovasoa/setup-emscripten,"Testing,Continuous integration","Continuous integration,Utilities"
act10ns/slack,"Chat,Continuous integration","Chat,Reporting"
SonarSource/sonarcloud-github-action,"Security,Code quality","Code quality,Continuous integration"
mislav/bump-homebrew-formula-action,"Publishing,Open Source management","Publishing,Dependency management"
MilesChou/composer-action,"Dependency management,Container CI","Continuous integration,Dependency management"
aws-actions/amazon-ecs-deploy-task-definition,"Continuous integration,Deployment","Deployment,Continuous integration"
johnwbyrd/update-release,"Continuous integration,Container CI","Publishing,Deployment"
gaurav-nelson/github-action-markdown-link-check,"Testing,Continuous integration","Utilities,Code quality"
github-actions-x/commit,"Continuous integration,Utilities","Utilities,Testing"
battila7/get-version-action,"Continuous integration,Utilities","Utilities,Publishing"
VeryGoodOpenSource/very_good_coverage,"Testing,Code quality","Code quality,Code review"
zzzze/webhook-trigger,"Reporting,Chat","Monitoring,Chat"
crazy-max/ghaction-container-scan,"Container CI,Code Scanning Ready","Container CI,Security"
lukka/set-shell-env,Utilities,"Continuous integration,Testing"
Khan/pull-request-comment-trigger,"Code review,Deployment","Utilities,Open Source management"
chinthakagodawita/autoupdate,"Continuous integration,Utilities","Project management,Utilities"
peter-evans/rebase,"Open Source management,Utilities","Utilities,Open Source management"
shivammathur/setup-php,"Continuous integration,Utilities","Code quality,Continuous integration"
liri-infra/qmllint-action,"Code quality,Continuous integration","Code quality,Continuous integration"
peter-evans/create-issue-from-file,"Reporting,Utilities","Utilities,Project management"
heinrichreimer/action-github-changelog-generator,"Publishing,Continuous integration","Publishing,Open Source management"
SeokminHong/pages-action,"Publishing,Deployment","Deployment,Publishing"
invi5H/ssh-action,"Deployment,Utilities","Continuous integration,Deployment"
actions/create-release,"Publishing,Utilities","Publishing,Utilities"
chrislennon/action-aws-cli,Utilities,"Deployment,Continuous integration"
py-actions/py-dependency-install,"Dependency management,Continuous integration","Dependency management,Security"
elgohr/Publish-Docker-Github-Action,"Publishing,Container CI","Container CI,Publishing"
jandelgado/gcov2lcov-action,"Testing,Code quality","Code quality,Code review"
anishathalye/proof-html,"Testing,Continuous integration","Deployment,Continuous integration"
tim-actions/dco,"Code review,Continuous integration","Code review,Utilities"
peaceiris/actions-gh-pages,"Publishing,Deployment","Deployment,Publishing"
microsoft/setup-msbuild,"IDEs,Continuous integration","Continuous integration,Utilities"
filipstefansson/set-npm-token-action,"Dependency management,Deployment","Publishing,Deployment"
CyberAndrii/setup-steamcmd,"Community,Utilities","Continuous integration,Testing"
nerdyscout/kicad-exports,"Publishing,Utilities","Code quality,Utilities"
TreTuna/sync-branches,"Continuous integration,Deployment","Utilities,Code review"
ZedThree/clang-tidy-review,"Code review,Code quality","Code review,Code quality"
BirthdayResearch/oss-governance-bot,"Project management,Open Source management","Utilities,Project management"
at-wat/bloom-release-action,Deployment,"Publishing,Continuous integration"
dessant/repo-lockdown,"Project management,Open Source management","Project management,Open Source management"
emibcn/badge-action,"Monitoring,Utilities","Utilities,Chat"
XAMPPRocky/deploy-mdbook,"Publishing,Deployment","Deployment,Publishing"
Ilshidur/action-slack,"Chat,Continuous integration","Chat,Reporting"
dessant/issue-states,"Project management,Utilities","Project management,Open Source management"
percy/exec-action,"Testing,Continuous integration","Continuous integration,Testing"
shivammathur/cache-extensions,"Continuous integration,Utilities","Continuous integration,Code quality"
srvaroa/labeler,"Code review,Project management","Project management,Utilities"
check-spelling/check-spelling,"Code review,Code quality","Code quality,Project management"
easingthemes/ssh-deploy,"Continuous integration,Deployment","Deployment,Continuous integration"
dotnet/nbgv,"Project management,Continuous integration","Utilities,Continuous integration"
seanmiddleditch/gha-setup-ninja,"Continuous integration,Utilities","Continuous integration,Utilities"
srggrs/assign-one-project-github-action,"Project management,Utilities","Project management,Open Source management"
ad-m/report-link-action,"Monitoring,Code quality","Project management,Utilities"
aochmann/actions-download-artifact,"Continuous integration,Deployment","Continuous integration,Utilities"
adamkdean/simple-slack-notify,"Reporting,Chat","Chat,Reporting"
lra/setup-kubeval,"Continuous integration,Utilities","Continuous integration,Utilities"
wasmerio/setup-wasmer,"Dependency management,Publishing","Continuous integration,Publishing"
guite/zikula-action,"Testing,Continuous integration","Continuous integration,Code quality"
shufo/auto-assign-reviewer-by-files,"Code review,Continuous integration","Project management,Code review"
ReactiveCircus/android-emulator-runner,"Testing,Mobile CI","Continuous integration,Testing"
mdecoleman/pr-branch-name,"Continuous integration,Utilities","Utilities,Continuous integration"
shalzz/zola-deploy-action,"Publishing,Deployment","Deployment,Publishing"
jidicula/clang-format-action,"Code review,Code quality","Code quality,Code review"
yi-Xu-0100/traffic-to-badge,"Monitoring,API management","Deployment,Publishing"
duderman/rubocop-annotate-action,"Code quality,Continuous integration","Code quality,Code review"
mxschmitt/action-tmate,"Continuous integration,Utilities","Continuous integration,Deployment"
Lukasss93/telegram-action,"Reporting,Chat","Chat,Utilities"
ecampidoglio/auto-release-draft,"Publishing,Deployment","Security,Code Scanning Ready"
damccorm/tag-ur-it,"Project management,Open Source management","Project management,Open Source management"
fjeremic/cron-labeler,"Open Source management,Utilities","Open Source management,Utilities"
actions-cool/release-helper,"Utilities,AI Assisted","Utilities,Deployment"
actions-hub/gcloud,"Publishing,Continuous integration","Deployment,Security"
c-hive/gha-remove-artifacts,Utilities,"Continuous integration,Deployment"
devmasx/merge-branch,"Continuous integration,Utilities","Utilities,Continuous integration"
andreacomo/maven-gav-extractor,"Continuous integration,Utilities","Utilities,Continuous integration"
mnao305/chrome-extension-upload,"Publishing,Deployment","Publishing,Deployment"
rips/github-action-scan,"Security,Continuous integration","Security,Continuous integration"
jwlawson/actions-setup-cmake,"Dependency management,Continuous integration","Continuous integration,Dependency management"
SchoofsKelvin/event-utilities,"Continuous integration,Utilities","Utilities,Publishing"
xt0rted/dotnet-format,"Code quality,Continuous integration","Code quality,Utilities"
totaldebug/sphinx-publish-action,"Publishing,Continuous integration","Deployment,Publishing"
yuichielectric/dive-action,"Continuous integration,Container CI","Continuous integration,Testing"
nolar/setup-k3d-k3s,"Continuous integration,Container CI","Continuous integration,Container CI"
softprops/action-gh-release,"Publishing,Continuous integration","Publishing,Utilities"
actionshub/markdownlint,"Code quality,Continuous integration","Code quality,Continuous integration"
banyan/auto-label,"Code review,Code search","Open Source management,Utilities"
svenstaro/upload-release-action,"Publishing,Deployment","Publishing,Deployment"
limitusus/json-syntax-check,"Testing,Code review","Code quality,Code review"
Azure/docker-login,"Continuous integration,Container CI","Container CI,Deployment"
andstor/jsdoc-action,"API management,Utilities","Deployment,Publishing"
reitermarkus/rerun-workflow,"Code review,Continuous integration","Project management,Utilities"
strumwolf/delete-deployment-environment,"Deployment,Utilities","Deployment,Continuous integration"
gsactions/commit-message-checker,"Code review,Code quality","Code quality,Utilities"
BSFishy/meson-build,Continuous integration,"Continuous integration,Code quality"
brandedoutcast/publish-nuget,"Publishing,Deployment","Deployment,Utilities"
christian-draeger/read-properties,Utilities,"Utilities,Dependency management"
EndBug/latest-tag,"Open Source management,Utilities","Project management,Code review"
BobAnkh/auto-generate-changelog,"Continuous integration,Utilities","Publishing,Utilities"
AnandChowdhary/release-scheduler,"Dependency management,Continuous integration","Continuous integration,Utilities"
deep5050/cppcheck-action,"Code review,Code quality","Project management,Code review"
mathieudutour/github-tag-action,"Publishing,Utilities","Publishing,Open Source management"
reviewdog/action-misspell,"Code review,Code quality","Code quality,Code review"
s-weigand/setup-conda,"Dependency management,Utilities","Project management,Utilities"
redhat-plumbers-in-action/differential-shellcheck,"Testing,Code quality","Code quality,Code review"
tj-actions/changed-files,"Code review,Continuous integration","Code search,Utilities"
depot/setup-action,"Continuous integration,Container CI","Continuous integration,Utilities"
ewels/rich-codex,"Continuous integration,Utilities","Utilities,Code quality"
langroodi/doxygenize,"Publishing,Continuous integration","Deployment,Code Scanning Ready"
mstksg/get-package,"Dependency management,Deployment","Publishing,Monitoring"
dorny/test-reporter,"Testing,Reporting","Testing,Reporting"
hashicorp/setup-terraform,"Deployment,Utilities","Continuous integration,Dependency management"
erclu/check-crlf,"Support,Utilities","Code quality,Utilities"
joerick/pr-labels-action,"Continuous integration,Utilities","Utilities,Open Source management"
sand4rt/ftp-deployer,"Publishing,Deployment","Deployment,Continuous integration"
fabriciobastian/download-release-asset-action,"Dependency management,Continuous integration","Publishing,Continuous integration"
sersoft-gmbh/xcodebuild-action,"Testing,Continuous integration","Continuous integration,Testing"
mschilde/auto-label-merge-conflicts,"Project management,Utilities","Project management,Open Source management"
Simek/yarn-lock-changes,"Dependency management,Code review","Dependency management,Utilities"
chrnorm/deployment-action,"Continuous integration,Deployment","Deployment,Dependency management"
Sibz/github-status-action,"Continuous integration,Utilities","Continuous integration,Utilities"
ishworkh/docker-image-artifact-download,"Continuous integration,Utilities","Continuous integration,Utilities"
DigiPie/mongo-action,"Testing,Continuous integration","Testing,Continuous integration"
reviewdog/action-golangci-lint,"Code review,Code quality","Code quality,Code review"
s0/git-publish-subdir-action,"Publishing,Deployment","Deployment,Publishing"
saadmk11/github-actions-version-updater,"Dependency management,Project management","Utilities,Project management"
pCYSl5EDgo/create-unitypackage,"Continuous integration,Utilities","Deployment,Testing"
zymap/bot,Utilities,"Utilities,Project management"
jetli/wasm-pack-action,"Continuous integration,Deployment","Continuous integration,Deployment"
dangoslen/changelog-enforcer,"Project management,Utilities","Publishing,Open Source management"
cclauss/GitHub-Action-for-pylint,"Code review,Code quality","Code quality,Code review"
wasmerio/wapm-publish,"Dependency management,Deployment","Deployment,Publishing"
webfactory/ssh-agent,"Continuous integration,Utilities","Deployment,Continuous integration"
XAMPPRocky/get-github-release,"Continuous integration,Utilities","Publishing,Deployment"
oprypin/find-latest-tag,"Dependency management,Continuous integration","Utilities,Publishing"
akosbalasko/coffee-readme,"Support,Utilities","Project management,Community"
eskatos/gradle-command-action,"Continuous integration,Utilities","Security,Dependency management"
ridedott/merge-me-action,"Dependency management,Security","Code review,Utilities"
lgeiger/black-action,"Code quality,Continuous integration","Code quality,Continuous integration"
rodrigogiraoserrao/python-black-check,"Code quality,Utilities","Code quality,Continuous integration"
frankdejonge/use-github-token,"Continuous integration,Deployment","Deployment,Utilities"
jwalton/gh-find-current-pr,Utilities,"Utilities,Code review"
innocarpe/actions-slack,"Chat,Continuous integration","Chat,Reporting"
wow-actions/use-app-token,"Security,Utilities","Utilities,Deployment"
shogo82148/actions-goveralls,"Testing,Code quality","Code quality,Testing"
jpetrucciani/bandit-check,"Security,Continuous integration","Code quality,Continuous integration"
DamianReeves/write-file-action,"Utilities,Desktop tools","Utilities,Deployment"
JasonEtco/is-sponsor-label-action,"Open Source management,GitHub Sponsors","Open Source management,Project management"
peaceiris/actions-hugo,"Publishing,Deployment","Publishing,Deployment"
korelstar/xmllint-problem-matcher,"Reporting,Code review","Code review,Reporting"
