project,actual,predicted
Justintime50/homebrew-releaser,"Dependency management,Publishing","Publishing,Open Source management"
NSCoder/rust-musl-action,"Code quality,Continuous integration","Continuous integration,Dependency management"
NuGet/setup-nuget,"Dependency management,Utilities","Continuous integration,Utilities"
bbonkr/get-version-action,"Support,Utilities","Utilities,Publishing"
yanglbme/gitee-pages-action,"Publishing,Deployment","Deployment,Container CI"
vmactions/cf-tunnel,"Testing,Continuous integration","Testing,Continuous integration"
shufo/auto-assign-reviewer-by-files,"Code review,Continuous integration","Utilities,Project management"
montudor/action-zip,"Deployment,Utilities","Continuous integration,Utilities"
patrickedqvist/wait-for-vercel-preview,"Continuous integration,Utilities","Deployment,Continuous integration"
sudo-bot/action-shellcheck,"Code review,Code quality","Code quality,Continuous integration"
lee-dohm/close-matching-issues,"Project management,Utilities","Utilities,Open Source management"
xiachufang/actions-feishu,"Chat,Utilities","Deployment,Container CI"
sand4rt/ftp-deployer,"Publishing,Deployment","Deployment,Continuous integration"
lukka/set-shell-env,Utilities,"Utilities,Continuous integration"
robvanderleek/create-issue-branch,"Project management,Utilities","Utilities,Project management"
wow-actions/use-app-token,"Security,Utilities","Continuous integration,Utilities"
jetli/wasm-bindgen-action,"Continuous integration,Deployment","Deployment,Continuous integration"
fastify/github-action-merge-dependabot,"Dependency management,Open Source management","Code review,Continuous integration"
oplik0/openPGP-action,"Security,Utilities","Continuous integration,Utilities"
dawidd6/action-download-artifact,"Continuous integration,Deployment","Continuous integration,Utilities"
messense/maturin-action,"Deployment,Utilities","Continuous integration,Container CI"
xresloader/upload-to-github-release,"Continuous integration,Deployment","Publishing,Utilities"
reviewdog/action-misspell,"Code review,Code quality","Code quality,Code review"
srvaroa/labeler,"Code review,Project management","Project management,Code review"
sersoft-gmbh/xcodebuild-action,"Testing,Continuous integration","Continuous integration,Deployment"
grassedge/git-pr-release-action,"Project management,Deployment","Publishing,Utilities"
pypa/gh-action-pypi-publish,"Publishing,Deployment","Publishing,Deployment"
jacobtomlinson/gha-find-replace,"Continuous integration,Utilities","Utilities,Code quality"
xmake-io/github-action-setup-xmake,"IDEs,Utilities","Continuous integration,Testing"
samuelmeuli/lint-action,"Testing,Code quality","Code quality,Testing"
snok/container-retention-policy,"Continuous integration,Container CI","Publishing,Utilities"
textileio/cloudflare-update-dnslink,"Continuous integration,Deployment","Utilities,Continuous integration"
cytopia/shell-command-retry-action,"Community,Continuous integration","Continuous integration,Utilities"
andreaswilli/delete-release-assets-action,"Continuous integration,Deployment","Publishing,Utilities"
gagoar/invoke-aws-lambda,"Continuous integration,Utilities","Deployment,Utilities"
Khan/pull-request-comment-trigger,"Code review,Deployment","Utilities,Code review"
docker-practice/actions-setup-docker,Container CI,"Continuous integration,Utilities"
peaceiris/actions-gh-pages,"Publishing,Deployment","Deployment,Publishing"
